,cum_return
0,1.0877678378620115
1,1.0931546439421822
2,1.100713872484167
3,1.1040826439905087
4,1.108019975939153
5,1.108439280399355
6,1.1088936212963756
7,1.1045691004597047
8,1.1027391651898508
9,1.0992949008223605
10,1.0921472650024704
11,1.0868014567953261
12,1.078943881370938
13,1.0896950470624132
14,1.0956846719056392
15,1.098726863418246
16,1.1057866177091713
17,1.1109539976952096
18,1.116897176841575
19,1.1294144452551964
20,1.1248676259426635
21,1.1372137014785966
22,1.1372298077573189
23,1.1547415621766182
24,1.1409785403609498
25,1.1453293103541533
26,1.1621123541117848
27,1.0722459903588883
28,1.1518916737610583
29,1.174759089451909
30,1.1822371638687876
31,1.1471744960007402
32,1.16785413503002
33,1.1534550454693826
34,1.1797015466567369
35,1.1687645626428158
36,1.1950295804369144
37,1.1969445632291003
38,1.1859765482964253
39,1.195319354267811
40,1.1528844089574537
41,1.173156921584305
42,1.1885569929986384
43,1.178730510483546
44,1.2112307302697092
45,1.2117041334575145
46,1.2060836376793482
47,1.1822150066345019
48,1.2175786321402244
49,1.1814480974118111
